Match,Date,Bet,Return,Gain,Meta,Odds,Balance,Comments,BET_TYPE,BET_STYLE,BET_RESULT,TEAM_1,TEAM_2
"Under 2.0 @ 2.025
$10.00 Single",2019-01-19 23:11:53,10.0,0.0,-10.0,AFC,2.025,225.72,,TOTAL GOAL,PRE MATCH,LOST,,
"No @ 1.75
$15.72 Single",2019-01-21 05:29:35,15.72,27.51,11.79,AFC,1.75,237.51,,BTTS,PRE MATCH,WIN,,
"No @ 1.75
$10.00 Single",2019-01-21 05:30:44,10.0,17.5,7.5,AFC,1.75,245.01,,BTTS,PRE MATCH,WIN,,
"Australia @ 1.95
$25.01 Single",2019-01-21 18:12:35,25.01,25.01,0.0,AFC,1.95,245.01,,FINAL RESULT,PRE MATCH,PUSH,,
"Australia -0.5 @ 1.990
$20.00 Single",2019-01-21 18:13:23,20.0,0.0,-20.0,AFC,1.99,225.01,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Over 2.0 @ 1.775
$30.00 Single",2019-01-23 05:27:08,30.0,53.25,23.25,AFC,1.775,248.26,,TOTAL GOAL,PRE MATCH,WIN,,
"Japan -1.5 @ 2.050
$20.00 Single",2019-01-23 21:15:44,20.0,0.0,-20.0,AFC,2.05,228.26,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Iran -0.5 @ 2.000
$25.01 Single",2019-01-24 10:17:41,25.01,50.02,25.01,AFC,2.0,253.27,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Japan 0.0,+0.5 @ 1.940
$23.27 Single",2019-01-25 09:58:35,23.27,45.15,21.88,AFC,1.94,275.15,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Japan 0.0,+0.5 @ 1.970
$10.00 Single",2019-01-25 13:38:24,10.0,19.7,9.7,AFC,1.97,284.85,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Japan 0.0,+0.5 @ 1.980
$20.00 Single",2019-01-27 08:33:53,20.0,39.6,19.6,AFC,1.98,304.45,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Over 2.0 @ 2.000
$14.45 Single",2019-01-29 08:58:27,14.45,28.9,14.45,AFC,2.0,318.9,,TOTAL GOAL,PRE MATCH,WIN,,
"Japan 0.0,-0.5 @ 1.910
$20.00 Single",2019-01-31 17:29:32,20.0,20.0,0.0,AFC,1.91,318.9,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Japan 0.0,-0.5 @ 1.910
$27.10 Single",2019-01-31 18:37:49,27.1,27.1,0.0,AFC,1.91,318.9,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Japan -0.5 @ 1.775
$50.00 Single",2019-02-01 08:21:52,50.0,88.75,38.75,AFC,1.775,357.65,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Japan -0.5 @ 1.775
$7.10 Single",2019-02-01 08:27:07,7.1,12.61,5.51,AFC,1.775,363.16,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Atletico Madrid 0.0 @ 1.840
$21.36 Single",2019-02-01 23:09:37,21.36,39.31,17.95,UCL,1.84,381.11,,ASIAN HANDICAP,PRE MATCH,WIN,Atletico Madrid,
"Real Madrid +0.5,+1.0 @ 1.900
$20.00 Single",2019-02-06 11:02:30,20.0,20.0,0.0,La Liga,1.9,381.11,,ASIAN HANDICAP,PRE MATCH,PUSH,Real Madrid,
"No @ 1.95
$20.00 Single",2019-02-09 04:31:32,20.0,0.0,-20.0,La Liga,1.95,361.11,,BTTS,PRE MATCH,LOST,,
"Man Utd 0.0,-0.5 @ 2.040
$50.00 Single",2019-02-11 15:04:38,50.0,0.0,-50.0,UCL,2.04,311.11,,ASIAN HANDICAP,PRE MATCH,LOST,Manchester United,
"Atletico Madrid 0.0 @ 2.040
$20.00 Single",2019-02-19 19:51:42,20.0,40.8,20.8,UCL,2.04,331.91,,ASIAN HANDICAP,PRE MATCH,WIN,Atletico Madrid,
"Liverpool +0.5 @ 1.860
$20.00 Single",2019-02-21 00:00:47,20.0,20.0,0.0,PL,1.86,331.91,,ASIAN HANDICAP,PRE MATCH,PUSH,Liverpool,
"Liverpool @ 1.90
$20.00 Single",2019-02-24 09:32:57,20.0,0.0,-20.0,PL,1.9,311.91,,FINAL RESULT,PRE MATCH,LOST,Liverpool,
"Man City @ 1.30
$100.00 Single",2019-02-24 11:31:07,100.0,130.0,30.0,PL,1.3,341.91,,FINAL RESULT,PRE MATCH,WIN,Manchester City,
"AC Milan 0.0 @ 2.125
$20.00 Single",2019-02-25 21:41:57,20.0,20.0,0.0,Serie A,2.125,341.91,,ASIAN HANDICAP,PRE MATCH,PUSH,AC Milan,
"Tottenham 0.0,+0.5 @ 1.890
$30.00 Single",2019-02-27 09:30:21,30.0,0.0,-30.0,PL,1.89,311.91,,ASIAN HANDICAP,PRE MATCH,LOST,Tottenham,
"Real Madrid @ 2.10
$20.00 Single",2019-02-27 13:30:06,20.0,20.0,0.0,La Liga,2.1,311.91,,FINAL RESULT,PRE MATCH,PUSH,Real Madrid,
"Under 3.0,3.5 @ 1.825
$20.00 Single",2019-02-27 13:30:32,20.0,28.25,8.25,Serie A,1.825,320.16,,TOTAL GOAL,PRE MATCH,WIN,,
"Real Madrid 0.0 @ 2.080
$28.25 Single",2019-03-01 07:56:57,28.25,0.0,-28.25,La Liga,2.08,291.91,,ASIAN HANDICAP,PRE MATCH,LOST,Real Madrid,
"Under 3.0,3.5 @ 1.910
$20.00 Single",2019-03-01 07:57:49,20.0,38.2,18.2,Serie A,1.91,310.11,,TOTAL GOAL,PRE MATCH,WIN,,
"Arsenal @ 2.00
$30.00 Single",2019-03-02 07:54:43,30.0,0.0,-30.0,Serie A,2.0,280.11,,FINAL RESULT,PRE MATCH,LOST,Arsenal,
"Real Madrid @ 5.00
$20.00 Single",2019-03-02 15:15:18,20.0,0.0,-20.0,La Liga,5.0,260.11,,FINAL RESULT,PRE MATCH,LOST,Real Madrid,
"Ajax +1.0 @ 1.910
$118.00 Single",2019-03-05 09:31:35,118.0,118.0,0.0,UCL,1.91,260.11,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Ajax +1.0 @ 1.800
$100.00 Single",2019-03-05 12:46:03,100.0,180.0,80.0,UCL,1.8,340.11,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Under 4.5 @ 1.72
$18.20 Single",2019-03-06 13:49:09,18.2,31.44,13.24,UCL,1.72,353.35,,TOTAL GOAL,PRE MATCH,WIN,,
"FC Porto @ 2.00
$20.00 Single",2019-03-06 16:06:53,20.0,40.0,20.0,UCL,2.0,373.35,,FINAL RESULT,PRE MATCH,WIN,,
"Atletico Madrid +0.5,+1.0 @ 1.900
$21.44 Single",2019-03-12 14:01:49,21.44,0.0,-21.44,UCL,1.9,351.91,,ASIAN HANDICAP,PRE MATCH,LOST,Atletico Madrid,
"Under 2.5 @ 2.010
$30.00 Single",2019-03-13 09:48:59,30.0,0.0,-30.0,UCL,2.01,321.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Lyon @ 13.00
$10.00 Single",2019-03-13 14:31:19,10.0,0.0,-10.0,UCL,13.0,311.91,,FINAL RESULT,PRE MATCH,LOST,,
"No @ 2.10
$10.00 Single",2019-03-13 14:31:52,10.0,0.0,-10.0,UCL,2.1,301.91,,BTTS,PRE MATCH,LOST,,
"No @ 2.10
$10.00 Single",2019-03-13 14:32:24,10.0,0.0,-10.0,UCL,2.1,291.91,,BTTS,PRE MATCH,LOST,,
"Ajax @ 3.60
$30.00 Single",2019-03-18 09:13:09,30.0,0.0,-30.0,UCL,3.6,261.91,,FINAL RESULT,PRE MATCH,LOST,,
"Ajax +0.5 @ 1.850
$50.00 Single",2019-03-18 09:13:25,50.0,92.5,42.5,UCL,1.85,304.41,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Ajax @ 3.50
$50.00 Single",2019-04-08 22:33:17,50.0,175.0,125.0,UCL,3.5,429.41,,FINAL RESULT,PRE MATCH,WIN,,
"Ajax @ 3.50
$20.00 Single",2019-04-10 15:17:34,20.0,0.0,-20.0,UCL,3.5,409.41,,FINAL RESULT,PRE MATCH,LOST,,
"Ajax @ 4.75
$22.50 Single",2019-04-10 20:21:12,22.5,106.88,84.38,UCL,4.75,493.79,,FINAL RESULT,PRE MATCH,WIN,,
"(0-0) Chelsea +0.5,+1.0 @ 1.970
$20.00 Single",2019-04-14 10:23:31,20.0,0.0,-20.0,PL,1.97,473.79,,ASIAN HANDICAP,LIVE,LOST,Chelsea,
"Ajax @ 5.00
$20.00 Single",2019-04-16 15:19:56,20.0,100.0,80.0,PL,5.0,553.79,,FINAL RESULT,PRE MATCH,WIN,,
"Under 2.5 @ 1.990
$21.88 Single",2019-04-17 13:32:40,21.88,0.0,-21.88,UCL,1.99,531.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Liverpool +0.5,+1.0 @ 1.960
$50.00 Single",2019-04-17 20:23:34,50.0,0.0,-50.0,UCL,1.96,481.91,,ASIAN HANDICAP,PRE MATCH,LOST,Liverpool,
"Arsenal @ 1.95
$20.00 Single",2019-04-18 14:40:16,20.0,39.05,19.05,UCL,1.95,500.96,,FINAL RESULT,PRE MATCH,WIN,Arsenal,
"No @ 1.95
$29.05 Single",2019-04-19 21:49:35,29.05,56.65,27.6,UCL,1.95,528.56,,BTTS,PRE MATCH,WIN,,
"Man City @ 1.44
$30.00 Single (10.00 Bet Credits + 20.00 CAD)",2019-04-23 09:30:45,30.0,43.34,13.34,PL,1.44,541.9,,FINAL RESULT,PRE MATCH,WIN,Manchester City,
"Chelsea 0.0 @ 1.990
$20.00 Single",2019-04-27 19:10:22,20.0,20.0,0.0,PL,1.99,541.9,,ASIAN HANDICAP,PRE MATCH,PUSH,Chelsea,
"Over 2.5 @ 1.90
$29.99 Single",2019-04-28 16:01:45,29.99,0.0,-29.99,PL,1.9,511.91,,TOTAL GOAL,PRE MATCH,LOST,,
"Liverpool +0.5 @ 2.000
$20.00 Single",2019-04-29 22:43:35,20.0,0.0,-20.0,UCL,2.0,491.91,,ASIAN HANDICAP,PRE MATCH,LOST,Liverpool,
"Ajax @ 1.80
$20.00 Single",2019-04-30 13:38:51,20.0,0.0,-20.0,UCL,1.8,471.91,,FINAL RESULT,PRE MATCH,LOST,,
"Liverpool @ 2.05
$30.00 Single",2019-05-01 06:10:44,30.0,61.5,31.5,UCL,2.05,503.41,,FINAL RESULT,PRE MATCH,WIN,Liverpool,
"Liverpool @ 11.00
$10.00 Single",2019-05-01 15:03:25,10.0,0.0,-10.0,UCL,11.0,493.41,,FINAL RESULT,PRE MATCH,LOST,Liverpool,
"Beijing Guoan 0.0 @ 1.750
$40.00 Single",2019-05-03 22:42:58,40.0,70.0,30.0,CSL,1.75,523.41,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Arsenal +0.5 @ 1.975
$20.00 Single",2019-05-05 14:17:18,20.0,39.5,19.5,UCL,1.975,542.91,,ASIAN HANDICAP,PRE MATCH,WIN,Arsenal,
"Liverpool 0.0 @ 1.930
$20.00 Single",2019-05-07 12:58:04,20.0,38.6,18.6,UCL,1.93,561.51,,ASIAN HANDICAP,PRE MATCH,WIN,Liverpool,
"Liverpool @ 19.00
$10.00 Single",2019-05-07 12:58:26,10.0,190.0,180.0,UCL,19.0,741.51,利物浦逆转巴萨，欧冠经典...,FINAL RESULT,PRE MATCH,WIN,Liverpool,Barcelona
"Ajax @ 2.25
$10.10 Single",2019-05-08 13:52:09,10.1,0.0,-10.1,UCL,2.25,731.41,,FINAL RESULT,PRE MATCH,LOST,,
"Arsenal +0.5 @ 2.070
$30.00 Single",2019-05-09 13:31:20,30.0,62.1,32.1,UCL,2.07,763.51,,ASIAN HANDICAP,PRE MATCH,WIN,Arsenal,
"Leeds @ 1.72

$21.60 Single",2019-05-15 12:15:28,21.6,0.0,-21.6,PL,1.72,741.91,,FINAL RESULT,PRE MATCH,LOST,Leeds United,
"Arsenal 0.0,+0.5 @ 1.800

$30.00 Single",2019-05-27 08:35:07,30.0,0.0,-30.0,UCL,1.8,711.91,,ASIAN HANDICAP,PRE MATCH,LOST,Arsenal,
"Arsenal +0.0 @ 2.05

$30.00 Single",2019-05-27 21:08:59,30.0,0.0,-30.0,UCL,2.05,681.91,,ASIAN HANDICAP,PRE MATCH,LOST,Arsenal,
"Arsenal 0.0,+0.5 @ 2.030

$20.00 Single",2019-05-29 06:33:18,20.0,0.0,-20.0,UCL,2.03,661.91,,ASIAN HANDICAP,PRE MATCH,LOST,Arsenal,
"Liverpool @ 1.90

$20.00 Single",2019-06-01 10:53:12,20.0,20.0,0.0,UCL,1.9,661.91,,FINAL RESULT,PRE MATCH,PUSH,Liverpool,
"Draw @ 4.33

$20.00 Single",2019-06-01 15:08:09,20.0,0.0,-20.0,UCL,4.33,641.91,,FINAL RESULT,PRE MATCH,LOST,,
"Holland 0.0,+0.5 @ 1.800

$100.00 Single",2019-06-07 09:14:14,100.0,0.0,-100.0,WWC,1.8,541.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"No @ 2.00

$30.00 Single",2019-06-07 09:16:18,30.0,60.0,30.0,WWC,2.0,571.91,,BTTS,PRE MATCH,WIN,,
"Holland @ 3.00

$20.00 Single",2019-06-07 09:28:12,20.0,0.0,-20.0,WWC,3.0,551.91,,FINAL RESULT,PRE MATCH,LOST,,
"Holland +1.0 @ 2.00

$20.00 Single",2019-06-09 13:09:45,20.0,0.0,-20.0,WWC,2.0,531.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Holland @ 4.75

$10.00 Single",2019-06-09 14:47:56,10.0,0.0,-10.0,WWC,4.75,521.91,,FINAL RESULT,PRE MATCH,LOST,,
"Holland @ 21.00

$10.00 Single",2019-06-09 15:01:32,10.0,0.0,-10.0,WWC,21.0,511.91,,FINAL RESULT,PRE MATCH,LOST,,
"China PR Women @ 5.00

$20.00 Single",2019-06-17 08:22:13,20.0,0.0,-20.0,WWC,5.0,491.91,,FINAL RESULT,PRE MATCH,LOST,,
"France Women @ 3.60

$20.00 Single",2019-06-24 20:15:36,20.0,0.0,-20.0,WWC,3.6,471.91,,FINAL RESULT,PRE MATCH,LOST,,
"Germany Women @ 1.83

$30.00 Single",2019-06-24 20:15:43,30.0,0.0,-30.0,WWC,1.83,441.91,,FINAL RESULT,PRE MATCH,LOST,,
"Draw @ 3.75

$30.00 Single",2019-06-25 11:52:18,30.0,0.0,-30.0,WWC,3.75,411.91,,FINAL RESULT,PRE MATCH,LOST,,
"France Women 0.0,+0.5 @ 1.925

$20.00 Single",2019-06-28 08:38:03,20.0,0.0,-20.0,WWC,1.925,391.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Germany Women @ 1.61

$50.00 Single",2019-06-29 07:29:08,50.0,0.0,-50.0,WWC,1.61,341.91,,FINAL RESULT,PRE MATCH,LOST,,
"Germany Women @ 10.00

$20.00 Single",2019-06-29 12:53:19,20.0,0.0,-20.0,WWC,10.0,321.91,,FINAL RESULT,PRE MATCH,LOST,,
"Holland Women +1.0 @ 1.900

$30.00 Single",2019-07-07 09:09:16,30.0,0.0,-30.0,WWC,1.9,291.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Team Liquid @ 1.44

$20.00 Single",2019-08-17 05:38:42,20.0,28.89,8.89,TI,1.44,300.8,,FINAL RESULT,PRE MATCH,WIN,,
"Virtus Pro @ 2.62

$20.00 Single",2019-08-19 21:52:37,20.0,0.0,-20.0,TI,2.62,280.8,,FINAL RESULT,PRE MATCH,LOST,,
"PSG.LGD @ 1.44

$20.00 Single",2019-08-19 23:13:29,20.0,28.89,8.89,TI,1.44,289.69,,FINAL RESULT,PRE MATCH,WIN,Paris SG,
"Royal Never Give Up @ 1.80

$20.00 Single",2019-08-20 05:25:44,20.0,36.0,16.0,TI,1.8,305.69,,FINAL RESULT,PRE MATCH,WIN,,
"Fnatic @ 2.37

$20.00 Single",2019-08-20 07:06:59,20.0,0.0,-20.0,TI,2.37,285.69,,FINAL RESULT,PRE MATCH,LOST,,
"TNC @ 1.66

$23.33 Single",2019-08-21 06:46:27,23.33,0.0,-23.33,TI,1.66,262.36,,FINAL RESULT,PRE MATCH,LOST,,
"Team Liquid @ 1.66

$20.45 Single",2019-08-21 07:55:40,20.45,34.09,13.64,TI,1.66,276.0,,FINAL RESULT,PRE MATCH,WIN,,
"Newbee @ 1.83

$34.09 Single",2019-08-21 22:21:36,34.09,62.5,28.41,TI,1.83,304.41,,FINAL RESULT,PRE MATCH,WIN,,
"Team Secret @ 1.50

$22.50 Single",2019-08-22 03:34:11,22.5,33.75,11.25,TI,1.5,315.66,,FINAL RESULT,PRE MATCH,WIN,,
"Vici Gaming @ 2.10

$23.75 Single",2019-08-22 05:04:41,23.75,0.0,-23.75,TI,2.1,291.91,,FINAL RESULT,PRE MATCH,LOST,,
"Vici Gaming @ 2.00

$50.00 Single",2019-08-22 06:19:29,50.0,0.0,-50.0,TI,2.0,241.91,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 1.72

$30.00 Single",2019-08-22 08:52:01,30.0,51.82,21.82,TI,1.72,263.73,,FINAL RESULT,PRE MATCH,WIN,,
"OG @ 1.80

$21.82 Single",2019-08-22 10:06:48,21.82,39.28,17.46,TI,1.8,281.19,,FINAL RESULT,PRE MATCH,WIN,,
"Team Liquid @ 1.50

$100.00 Single",2019-08-22 22:34:44,100.0,150.0,50.0,TI,1.5,331.19,,FINAL RESULT,PRE MATCH,WIN,,
"Vici Gaming @ 2.10

$39.28 Single",2019-08-23 21:24:47,39.28,0.0,-39.28,TI,2.1,291.91,,FINAL RESULT,PRE MATCH,LOST,,
"Vici Gaming @ 1.83

$50.00 Single",2019-08-23 22:21:57,50.0,0.0,-50.0,TI,1.83,241.91,,FINAL RESULT,PRE MATCH,LOST,,
"Vici Gaming @ 1.83

$50.00 Single",2019-08-23 22:24:08,50.0,0.0,-50.0,TI,1.83,191.91,,FINAL RESULT,PRE MATCH,LOST,,
"OG @ 2.00

$50.00 Single",2019-08-23 23:31:30,50.0,0.0,-50.0,TI,2.0,141.91,,FINAL RESULT,PRE MATCH,LOST,,
"Shanghai Shenhua +2.5 @ 1.875

$20.00 Single",2019-11-30 23:41:58,20.0,0.0,-20.0,CSL,1.875,121.91,,ASIAN HANDICAP,PRE MATCH,LOST,Shanghai Shenhua,
"Man City @ 1.30

$100.00 Single",2019-12-05 10:33:58,100.0,0.0,-100.0,PL,1.3,21.91,,FINAL RESULT,PRE MATCH,LOST,Manchester City,
"Inter Milan -1.0 @ 1.980

$30.00 Single",2019-12-09 10:18:17,30.0,0.0,-30.0,UCL,1.98,-8.09,,ASIAN HANDICAP,PRE MATCH,LOST,Inter,
"Real Madrid @ 3.10

$20.00 Single",2019-12-18 11:42:29,20.0,62.0,42.0,La Liga,3.1,33.91,,ASIAN CORNER HANDICAP,PRE MATCH,WIN,Real Madrid,
"Real Madrid +2.0 @ 1.83

$30.00 Single",2019-12-18 11:42:39,30.0,30.0,0.0,La Liga,1.83,33.91,,ASIAN CORNER HANDICAP,PRE MATCH,PUSH,Real Madrid,
"Real Madrid @ 3.50

$20.00 Single",2019-12-18 14:31:04,20.0,0.0,-20.0,La Liga,3.5,13.91,,FINAL RESULT,LIVE,LOST,Real Madrid,
"Juventus @ 2.05

$22.00 Single",2019-12-21 21:22:23,22.0,0.0,-22.0,Serie A,2.05,-8.09,,FINAL RESULT,PRE MATCH,LOST,Juventus,
"Leicester +0.5 @ 1.940

$20.00 Single",2019-12-26 15:00:37,20.0,0.0,-20.0,PL,1.94,-28.09,,ASIAN HANDICAP,PRE MATCH,LOST,Leichester,
"Under 3.0 @ 2.030

$30.00 Single",2019-12-27 14:32:23,30.0,0.0,-30.0,PL,2.03,-58.09,,TOTAL GOAL,PRE MATCH,LOST,,
"Wolverhampton or Draw @ 2.75

$50.00 Single",2019-12-27 16:05:10,50.0,137.5,87.5,PL,2.75,29.41,,FINAL RESULT,LIVE,WIN,Wolverhampton,
"Wolverhampton or Draw @ 3.25

$50.00 Single",2019-12-27 16:21:02,50.0,162.5,112.5,PL,3.25,141.91,,FINAL RESULT,LIVE,WIN,Wolverhampton,
"Chelsea 0.0,-0.5 @ 2.070

$20.00 Single",2019-12-27 18:03:34,20.0,41.4,21.4,PL,2.07,163.31,,ASIAN HANDICAP,PRE MATCH,WIN,Chelsea,
"Over 2.5 @ 1.53

$20.00 Single",2019-12-28 21:38:07,20.0,30.67,10.67,PL,1.53,173.98,,TOTAL GOAL,PRE MATCH,WIN,,
"Over 2.5,3.0 @ 1.860

$20.00 Single",2019-12-29 08:55:09,20.0,28.6,8.6,PL,1.86,182.58,,TOTAL GOAL,PRE MATCH,WIN,,
"Chelsea or Draw @ 3.00

$40.00 Single",2019-12-29 10:28:50,40.0,120.0,80.0,PL,3.0,262.58,,FINAL RESULT,LIVE,WIN,Chelsea,
"Wolverhampton or Draw @ 3.40

$20.67 Single",2019-12-29 12:06:12,20.67,0.0,-20.67,PL,3.4,241.91,,FINAL RESULT,LIVE,LOST,Wolverhampton,
"Brescia +1.0 @ 1.920

$20.00 Single",2020-01-03 21:33:44,20.0,20.0,0.0,,1.92,241.91,,ASIAN HANDICAP,PRE MATCH,PUSH,,
"Southampton +1.0 @ 2.020

$20.00 Single",2020-01-03 21:36:40,20.0,40.4,20.4,,2.02,262.31,,ASIAN HANDICAP,PRE MATCH,WIN,Southampton,
"Real Madrid @ 1.83

$20.00 Single",2020-01-04 10:19:10,20.0,36.67,16.67,,1.83,278.98,,FINAL RESULT,PRE MATCH,WIN,Real Madrid,
"Espanyol @ 2.87

$16.67 Single",2020-01-04 15:39:50,16.67,0.0,-16.67,,2.87,262.31,,FINAL RESULT,PRE MATCH,LOST,Espanyol,
"Napoli 0.0,+0.5 @ 2.100

$40.00 Single",2020-01-10 06:57:53,40.0,40.0,0.0,,2.1,262.31,,ASIAN HANDICAP,PRE MATCH,PUSH,Napoli,
"Southampton +0.5,+1.0 @ 2.090

$20.00 Single",2020-01-11 00:06:33,20.0,41.8,21.8,,2.09,284.11,,ASIAN HANDICAP,PRE MATCH,WIN,Southampton,
"(0-0) Napoli +0.5 @ 1.900

$40.00 Single",2020-01-11 11:51:05,40.0,0.0,-40.0,,1.9,244.11,,ASIAN HANDICAP,LIVE,LOST,Napoli,
"Draw @ 6.50

$12.20 Single",2020-01-11 14:09:20,12.2,0.0,-12.2,,6.5,231.91,,FINAL RESULT,PRE MATCH,LOST,,
"Atalanta @ 6.00

$10.00 Single",2020-01-11 16:26:35,10.0,0.0,-10.0,,6.0,221.91,,FINAL RESULT,PRE MATCH,LOST,Atalanta,
"Real Madrid 0.0,-0.5 @ 2.070

$20.00 Single",2020-01-12 12:55:15,20.0,10.0,-10.0,,2.07,211.91,,ASIAN HANDICAP,PRE MATCH,LOST,Real Madrid,
"Roma or Draw @ 3.40

$30.00 Single",2020-01-12 16:17:38,30.0,0.0,-30.0,,3.4,181.91,,FINAL RESULT,LIVE,LOST,,
"Sampdoria +1.0,+1.5 @ 1.980

$40.00 Single",2020-01-14 17:14:28,40.0,0.0,-40.0,,1.98,141.91,,ASIAN HANDICAP,PRE MATCH,LOST,,
"Inter Milan @ 1.66

$60.00 Single",2020-01-19 10:26:04,60.0,0.0,-60.0,,1.66,81.91,,FINAL RESULT,PRE MATCH,LOST,Inter,
"Chelsea @ 1.72

$20.00 Single",2020-01-21 14:40:57,20.0,0.0,-20.0,,1.72,61.91,,FINAL RESULT,PRE MATCH,LOST,Chelsea,
"Chelsea @ 1.80

$180.00 Single",2020-01-21 15:25:29,180.0,0.0,-180.0,,1.8,-118.09,Chelsea v Arsenal(Fulltime Result),FINAL RESULT,PRE MATCH,LOST,Chelsea,Arsenal
"Valencia @ 1.72

$100.00 Single",2020-01-25 11:20:14,100.0,172.73,72.73,,1.72,-45.36,Valencia v Barcelona(Fulltime Result),FINAL RESULT,LIVE,WIN,Barcelona,Valencia
"Roma -1.0 @ 2.30

$22.73 Single",2020-01-26 11:17:33,22.73,52.28,29.55,,2.3,-15.81,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Roma 0.0,+0.5 @ 1.820

$50.00 Single",2020-01-26 11:17:48,50.0,70.5,20.5,,1.82,4.69,,ASIAN HANDICAP,PRE MATCH,WIN,,
"Roma @ 2.75

$50.00 Single",2020-01-26 13:13:34,50.0,0.0,-50.0,,2.75,-45.31,,FINAL RESULT,PRE MATCH,LOST,,
"Real Madrid -0.5 @ 1.870

$22.78 Single",2020-02-01 09:22:39,22.78,42.6,19.82,,1.87,-25.49,,ASIAN HANDICAP,PRE MATCH,WIN,Real Madrid,
"Real Madrid @ 2.37

$160.00 Single",2020-02-01 11:05:36,160.0,321.54,161.54,La Liga,2.37,136.05,Real Madrid v Atletico Madrid(Fulltime Result),FINAL RESULT,PRE MATCH,WIN,Real Madrid,Atletico Madrid
"Burnley @ 4.00

$14.41 Single",2020-02-02 10:13:19,14.41,0.0,-14.41,,4.0,121.64,,FINAL RESULT,PRE MATCH,LOST,,
"Tottenham +1.0 @ 2.040

$19.73 Single",2020-02-02 11:07:27,19.73,40.25,20.52,,2.04,142.16,,ASIAN HANDICAP,PRE MATCH,WIN,Tottenham,
"Tottenham or Draw @ 2.10

$30.00 Single",2020-02-02 12:14:43,30.0,63.0,33.0,,2.1,175.16,,FINAL RESULT,LIVE,WIN,Tottenham,
"Inter Milan -0.5 @ 1.990

$33.25 Single",2020-02-07 20:15:04,33.25,66.17,32.92,,1.99,208.08,,ASIAN HANDICAP,PRE MATCH,WIN,Inter,
"Atalanta -0.5 @ 1.950

$20.00 Single",2020-02-08 08:27:42,20.0,39.0,19.0,,1.95,227.08,,ASIAN HANDICAP,PRE MATCH,WIN,Atalanta,
"Atalanta -1.0 @ 1.90

$20.00 Single",2020-02-08 08:33:36,20.0,0.0,-20.0,,1.9,207.08,,ASIAN HANDICAP,PRE MATCH,LOST,Atalanta,
"Inter Milan -0.5 @ 2.000

$39.00 Single",2020-02-09 09:36:34,39.0,78.0,39.0,,2.0,246.08,,ASIAN HANDICAP,PRE MATCH,WIN,Inter,
"Parma @ 19.00

$10.00 Single",2020-02-09 13:08:29,10.0,0.0,-10.0,,19.0,236.08,,FINAL RESULT,PRE MATCH,LOST,,
"Inter Milan -0.5 @ 2.125

$20.00 Single",2020-02-09 14:04:06,20.0,42.5,22.5,,2.125,258.58,,ASIAN HANDICAP,PRE MATCH,WIN,Inter,
"Inter Milan @ 2.50

$20.00 Single",2020-02-09 16:01:54,20.0,50.0,30.0,,2.5,288.58,,FINAL RESULT,PRE MATCH,WIN,Inter,
"Inter Milan -0.5 @ 2.025

$16.67 Single",2020-02-12 14:11:44,16.67,0.0,-16.67,,2.025,271.91,,ASIAN HANDICAP,PRE MATCH,LOST,Inter,
"Getafe -1.0 @ 2.100

$20.00 Single",2020-02-15 09:38:08,20.0,0.0,-20.0,,2.1,251.91,,ASIAN HANDICAP,PRE MATCH,LOST,Getafe,
"Inter Milan 0.0,+0.5 @ 1.820

$80.00 Single",2020-02-16 13:50:51,80.0,80.0,0.0,,1.82,251.91,Lazio v Inter Milan(Asian Handicap),ASIAN HANDICAP,PRE MATCH,PUSH,Inter,Lazio
"Inter Milan @ 2.90

$30.00 Single",2020-02-16 13:58:10,30.0,0.0,-30.0,,2.9,221.91,Lazio v Inter Milan(Asian Handicap),FINAL RESULT,PRE MATCH,LOST,Inter,Lazio
"Inter Milan 0.0 @ 2.125

$50.00 Single",2020-02-16 14:17:21,50.0,0.0,-50.0,,2.125,171.91,Lazio v Inter Milan(Asian Handicap),ASIAN HANDICAP,PRE MATCH,LOST,Inter,Lazio
