Match,Date,Bet,Return,Gain,Meta,Odds,Bet Type,Balance,Comments
"No @ 2.00

$30.00 Single",06/07/2019 9:16:18,30,60,30,WWC,2,both score,571.91,
"Holland @ 3.00

$20.00 Single",06/07/2019 9:28:12,20,0,-20,WWC,3,regular,551.91,
"Holland +1.0 @ 2.00

$20.00 Single",06/09/2019 13:09:45,20,0,-20,WWC,2,regular,531.91,
"Holland @ 4.75

$10.00 Single",06/09/2019 14:47:56,10,0,-10,WWC,4.75,regular,521.91,
"Holland @ 21.00

$10.00 Single",06/09/2019 15:01:32,10,0,-10,WWC,21,regular,511.91,
"China PR Women @ 5.00

$20.00 Single",06/17/2019 8:22:13,20,0,-20,WWC,5,regular,491.91,
"France Women @ 3.60

$20.00 Single",06/24/2019 20:15:36,20,0,-20,WWC,3.6,regular,471.91,
"Germany Women @ 1.83

$30.00 Single",06/24/2019 20:15:43,30,0,-30,WWC,1.83,regular,441.91,
"Draw @ 3.75

$30.00 Single",06/25/2019 11:52:18,30,0,-30,WWC,3.75,regular,411.91,
"France Women 0.0,+0.5 @ 1.925

$20.00 Single",06/28/2019 8:38:03,20,0,-20,WWC,1.925,regular,391.91,
"Germany Women @ 1.61

$50.00 Single",06/29/2019 7:29:08,50,0,-50,WWC,1.61,regular,341.91,
"Germany Women @ 10.00

$20.00 Single",06/29/2019 12:53:19,20,0,-20,WWC,10,regular,321.91,
"Holland Women +1.0 @ 1.900

$30.00 Single",07/07/2019 9:09:16,30,0,-30,WWC,1.9,regular,291.91,
"Team Liquid @ 1.44

$20.00 Single",08/17/2019 5:38:42,20,28.89,8.89,TI,1.44,regular,300.8,
"Virtus Pro @ 2.62

$20.00 Single",08/19/2019 21:52:37,20,0,-20,TI,2.62,regular,280.8,
"PSG.LGD @ 1.44

$20.00 Single",08/19/2019 23:13:29,20,28.89,8.89,TI,1.44,regular,289.69,
"Royal Never Give Up @ 1.80

$20.00 Single",08/20/2019 5:25:44,20,36,16,TI,1.8,regular,305.69,
"Fnatic @ 2.37

$20.00 Single",08/20/2019 7:06:59,20,0,-20,TI,2.37,regular,285.69,
"TNC @ 1.66

$23.33 Single",08/21/2019 6:46:27,23.33,0,-23.33,TI,1.66,regular,262.36,
"Team Liquid @ 1.66

$20.45 Single",08/21/2019 7:55:40,20.45,34.09,13.64,TI,1.66,regular,276,
"Newbee @ 1.83

$34.09 Single",08/21/2019 22:21:36,34.09,62.5,28.41,TI,1.83,regular,304.41,
"Team Secret @ 1.50

$22.50 Single",08/22/2019 3:34:11,22.5,33.75,11.25,TI,1.5,regular,315.66,
"Vici Gaming @ 2.10

$23.75 Single",08/22/2019 5:04:41,23.75,0,-23.75,TI,2.1,regular,291.91,
"Vici Gaming @ 2.00

$50.00 Single",08/22/2019 6:19:29,50,0,-50,TI,2,regular,241.91,
"OG @ 1.72

$30.00 Single",08/22/2019 8:52:01,30,51.82,21.82,TI,1.72,regular,263.73,
"OG @ 1.80

$21.82 Single",08/22/2019 10:06:48,21.82,39.28,17.46,TI,1.8,regular,281.19,
"Team Liquid @ 1.50

$100.00 Single",08/22/2019 22:34:44,100,150,50,TI,1.5,regular,331.19,
"Vici Gaming @ 2.10

$39.28 Single",08/23/2019 21:24:47,39.28,0,-39.28,TI,2.1,regular,291.91,
"Vici Gaming @ 1.83

$50.00 Single",08/23/2019 22:21:57,50,0,-50,TI,1.83,regular,241.91,
"Vici Gaming @ 1.83

$50.00 Single",08/23/2019 22:24:08,50,0,-50,TI,1.83,regular,191.91,
"OG @ 2.00

$50.00 Single",08/23/2019 23:31:30,50,0,-50,TI,2,regular,141.91,
"Shanghai Shenhua +2.5 @ 1.875

$20.00 Single",11/30/2019 23:41:58,20,0,-20,CSL,1.875,regular,121.91,
"Man City @ 1.30

$100.00 Single",12/05/2019 10:33:58,100,0,-100,PL,1.3,regular,21.91,
"Inter Milan -1.0 @ 1.980

$30.00 Single",12/09/2019 10:18:17,30,0,-30,UCL,1.98,regular,-8.09,
"Real Madrid @ 3.10

$20.00 Single",12/18/2019 11:42:29,20,62,42,La Liga,3.1,corner,33.91,
"Real Madrid +2.0 @ 1.83

$30.00 Single",12/18/2019 11:42:39,30,30,0,La Liga,1.83,corner,33.91,
"Real Madrid @ 3.50

$20.00 Single",12/18/2019 14:31:04,20,0,-20,La Liga,3.5,live,13.91,
"Juventus @ 2.05

$22.00 Single",12/21/2019 21:22:23,22,0,-22,Serie A,2.05,regular,-8.09,
"Leicester +0.5 @ 1.940

$20.00 Single",12/26/2019 15:00:37,20,0,-20,PL,1.94,regular,-28.09,
"Under 3.0 @ 2.030

$30.00 Single",12/27/2019 14:32:23,30,0,-30,PL,2.03,goal,-58.09,
"Wolverhampton or Draw @ 2.75

$50.00 Single",12/27/2019 16:05:10,50,137.5,87.5,PL,2.75,live,29.41,
"Wolverhampton or Draw @ 3.25

$50.00 Single",12/27/2019 16:21:02,50,162.5,112.5,PL,3.25,live,141.91,
"Chelsea 0.0,-0.5 @ 2.070

$20.00 Single",12/27/2019 18:03:34,20,41.4,21.4,PL,2.07,regular,163.31,
"Over 2.5 @ 1.53

$20.00 Single",12/28/2019 21:38:07,20,30.67,10.67,PL,1.53,goal,173.98,
"Over 2.5,3.0 @ 1.860

$20.00 Single",12/29/2019 8:55:09,20,28.6,8.6,PL,1.86,goal,182.58,
"Chelsea or Draw @ 3.00

$40.00 Single",12/29/2019 10:28:50,40,120,80,PL,3,live,262.58,
"Wolverhampton or Draw @ 3.40

$20.67 Single",12/29/2019 12:06:12,20.67,0,-20.67,PL,3.4,live,241.91,
"Brescia +1.0 @ 1.920

$20.00 Single",01/03/2020 21:33:44,20,20,0,,1.92,,241.91,
"Southampton +1.0 @ 2.020

$20.00 Single",01/03/2020 21:36:40,20,40.4,20.4,,2.02,,262.31,
"Real Madrid @ 1.83

$20.00 Single",01/04/2020 10:19:10,20,36.67,16.67,,1.83,,278.98,
"Espanyol @ 2.87

$16.67 Single",01/04/2020 15:39:50,16.67,0,-16.67,,2.87,,262.31,
"Napoli 0.0,+0.5 @ 2.100

$40.00 Single",01/10/2020 6:57:53,40,40,0,,2.1,,262.31,
"Southampton +0.5,+1.0 @ 2.090

$20.00 Single",01/11/2020 0:06:33,20,41.8,21.8,,2.09,,284.11,
"(0-0) Napoli +0.5 @ 1.900

$40.00 Single",01/11/2020 11:51:05,40,0,-40,,1.9,,244.11,
"Draw @ 6.50

$12.20 Single",01/11/2020 14:09:20,12.2,0,-12.2,,6.5,,231.91,
"Atalanta @ 6.00

$10.00 Single",01/11/2020 16:26:35,10,0,-10,,6,,221.91,
"Real Madrid 0.0,-0.5 @ 2.070

$20.00 Single",01/12/2020 12:55:15,20,10,-10,,2.07,,211.91,
"Roma or Draw @ 3.40

$30.00 Single",01/12/2020 16:17:38,30,0,-30,,3.4,,181.91,
"Sampdoria +1.0,+1.5 @ 1.980

$40.00 Single",01/14/2020 17:14:28,40,0,-40,,1.98,,141.91,
"Inter Milan @ 1.66

$60.00 Single",01/19/2020 10:26:04,60,0,-60,,1.66,,81.91,
"Chelsea @ 1.72

$20.00 Single",01/21/2020 14:40:57,20,0,-20,,1.72,,61.91,
"Chelsea @ 1.80

$180.00 Single",01/21/2020 15:25:29,180,0,-180,,1.8,,-118.09,
"Valencia @ 1.72

$100.00 Single",01/25/2020 11:20:14,100,172.73,72.73,,1.72,,-45.36,
"Roma -1.0 @ 2.30

$22.73 Single",01/26/2020 11:17:33,22.73,52.28,29.55,,2.3,,-15.81,
"Roma 0.0,+0.5 @ 1.820

$50.00 Single",01/26/2020 11:17:48,50,70.5,20.5,,1.82,,4.69,
"Roma @ 2.75

$50.00 Single",01/26/2020 13:13:34,50,0,-50,,2.75,,-45.31,
"Real Madrid -0.5 @ 1.870

$22.78 Single",02/01/2020 9:22:39,22.78,42.6,19.82,,1.87,,-25.49,
"Real Madrid @ 2.37

$160.00 Single",02/01/2020 11:05:36,160,321.54,161.54,La Liga,2.37,,136.05,Real Madrid v Atletico Madrid(Fulltime Result)
"Burnley @ 4.00

$14.41 Single",02/02/2020 10:13:19,14.41,0,-14.41,,4,,121.64,
"Tottenham +1.0 @ 2.040

$19.73 Single",02/02/2020 11:07:27,19.73,40.25,20.52,,2.04,,142.16,
"Tottenham or Draw @ 2.10

$30.00 Single",02/02/2020 12:14:43,30,63,33,,2.1,,175.16,
"Inter Milan -0.5 @ 1.990

$33.25 Single",02/07/2020 20:15:04,33.25,66.17,32.92,,1.99,,208.08,
"Atalanta -0.5 @ 1.950

$20.00 Single",02/08/2020 8:27:42,20,39,19,,1.95,,227.08,
"Atalanta -1.0 @ 1.90

$20.00 Single",02/08/2020 8:33:36,20,0,-20,,1.9,,207.08,
"Inter Milan -0.5 @ 2.000

$39.00 Single",02/09/2020 9:36:34,39,78,39,,2,,246.08,
"Parma @ 19.00

$10.00 Single",02/09/2020 13:08:29,10,0,-10,,19,,236.08,
"Inter Milan -0.5 @ 2.125

$20.00 Single",02/09/2020 14:04:06,20,42.5,22.5,,2.125,,258.58,
"Inter Milan @ 2.50

$20.00 Single",02/09/2020 16:01:54,20,50,30,,2.5,,288.58,
"Inter Milan -0.5 @ 2.025

$16.67 Single",02/12/2020 14:11:44,16.67,0,-16.67,,2.025,,271.91,
"Getafe -1.0 @ 2.100

$20.00 Single",02/15/2020 9:38:08,20,0,-20,,2.1,,251.91,
"Inter Milan 0.0,+0.5 @ 1.820

$80.00 Single",02/16/2020 13:50:51,80,80,0,,1.82,,251.91,
"Inter Milan @ 2.90

$30.00 Single",02/16/2020 13:58:10,30,0,-30,,2.9,,221.91,
"Inter Milan 0.0 @ 2.125

$50.00 Single",02/16/2020 14:17:21,50,0,-50,,2.125,,171.91,
"Inter Milan 0.0 @ 2.125

$100.00 Single",02/16/2020 14:18:06,100,0,-100,Serie A,2.125,regular,71.91,Lazio v Inter Milan(Asian Handicap)
"Inter Milan @ 3.40

$50.00 Single",02/16/2020 15:58:29,50,0,-50,,3.4,,21.91,
"Inter Milan @ 26.00

$20.00 Single",02/16/2020 16:18:59,20,0,-20,,26,,1.91,
"Liverpool @ 2.25

$30.00 Single",02/18/2020 7:57:23,30,0,-30,,2.25,,-28.09,
"Liverpool 0.0,-0.5 @ 2.000

$100.00 Single",02/18/2020 8:12:48,100,0,-100,,2,,-128.09,
"Liverpool @ 9.50

$20.00 Single",02/18/2020 16:13:46,20,0,-20,,9.5,,-148.09,
"Atalanta to score 3rd goal @ 1.83

$30.00 Single",02/19/2020 16:07:42,30,55,25,,1.83,,-123.09,
"Atalanta to score 5th goal @ 2.25

$15.00 Single",02/19/2020 16:24:09,15,0,-15,,2.25,,-138.09,
"Draw @ 7.00

$10.00 Single",02/19/2020 16:44:45,10,0,-10,,7,,-148.09,
"Man City -1.0 @ 2.010

$30.00 Single",02/22/2020 12:04:25,30,30,0,,2.01,,-148.09,
"Napoli -1.0 @ 2.75

$180.00 Single",02/25/2020 9:24:13,180,180,0,,2.75,,-148.09,
"Napoli -1.0 @ 2.75

$80.00 Single",02/25/2020 14:01:07,80,0,-80,,2.75,,-228.09,
"Man City @ 2.30

$100.00 Single",02/26/2020 14:12:57,100,100,0,,2.3,,-228.09,
"Man City -1.0 @ 1.900

$50.00 Single",02/26/2020 14:33:31,50,95,45,,1.9,,-183.09,
"Man City 0.0,-0.5 @ 2.020

$50.00 Single",02/26/2020 14:34:03,50,101,51,,2.02,,-132.09,
"Man City @ 2.60

$30.00 Single",02/26/2020 16:10:58,30,78,48,,2.6,,-84.09,
"Man City @ 8.00

$70.00 Single",02/26/2020 16:19:19,70,560,490,UCL,8,live,405.91,"Man City vs Real Madrid
热苏斯超神，看准了就是吃"
"Ludogorets Razgrad +1.0,+1.5 @ 2.040

$34.00 Single",02/27/2020 14:18:24,34,51.68,17.68,,2.04,,423.59,
"Bologna +1.0 @ 1.970

$21.68 Single",02/29/2020 8:19:21,21.68,0,-21.68,,1.97,,401.91,
"Bologna to score 3rd goal @ 2.50

$30.00 Single",02/29/2020 10:19:38,30,0,-30,,2.5,,371.91,
"Real Madrid 0.0,-0.5 @ 2.010

$50.00 Single",03/01/2020 14:08:38,50,100.5,50.5,,2.01,,422.41,"Real Madrid vs Barc
吃!"
"Real Madrid 0.0,-0.5 @ 2.010
$60.00 Single
",03/01/2020 14:10:03,60,120.6,60.6,,2.01,,483.01,"Real Madrid vs Barc
吃!"
"Real Madrid @ 2.87

$30.00 Single",03/01/2020 16:15:54,30,86.25,56.25,,2.87,,539.26,"Real Madrid vs Barc
吃!"
"Man City to score 2nd goal @ 1.83

$27.35 Single",03/08/2020 12:47:50,27.35,0,-27.35,,1.83,,511.91,
"Inter Milan 0.0,+0.5 @ 2.040

$20.00 Single",03/08/2020 14:10:27,20,0,-20,,2.04,,491.91,
"Inter Milan to score 2nd goal @ 2.62

$20.00 Single",03/08/2020 15:56:17,20,0,-20,,2.62,live goal,471.91,
"Tottenham @ 6.00

$20.00 Single",03/10/2020 14:58:46,20,0,-20,,6,,451.91,
"Tottenham @ 51.00

$10.00 Single",03/10/2020 16:08:22,10,0,-10,,51,,441.91,
"Over 2.5 @ 1.990

$30.00 Single",03/11/2020 14:54:33,30,0,-30,,1.99,,411.91,
"Over 2.5 @ 1.990

$20.00 Single",03/11/2020 14:55:16,20,0,-20,,1.99,,391.91,
"Over 2.5 @ 1.990

$20.00 Single",03/11/2020 14:57:22,20,0,-20,,1.99,,371.91,
"Atletico Madrid to score 2nd goal @ 8.50

$20.00 Single",03/11/2020 16:31:55,20,0,-20,,8.5,,351.91,
"Sevilla @ 5.50

$20.00 Single",06/19/2020 16:33:03,20,0,-20,La Liga,5.5,,331.91,
"(0-0) Real Madrid -0.5,-1.0 @ 1.930

$60.00 Single",06/21/2020 15:04:23,60,106.98,46.98,La Liga,1.93,,378.89,
"Atalanta @ 2.10

$26.98 Single",06/23/2020 5:01:31,26.98,56.66,29.68,Serie A,2.1,,408.57,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转"
"Atalanta 0.0,-0.5 @ 2.010

$30.00 Single",06/24/2020 14:42:41,30,60.3,30.3,Serie A,2.01,,438.87,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转"
"Atalanta @ 4.75

$20.00 Single",06/24/2020 15:59:26,20,95,75,Serie A,4.75,,513.87,"Atalanta vs Lazio
拉齐奥复赛第一场，看出完全
是XJBT, 果然被逆转"
"Man City @ 2.10

$21.96 Single",06/25/2020 15:28:26,21.96,0,-21.96,PL,2.1,,491.91,
"Real Madrid -1.0 @ 1.850

$50.00 Single",06/28/2020 11:24:37,50,50,0,La Liga,1.85,,491.91,
"Real Madrid -1.0 @ 1.860

$70.00 Single",06/28/2020 11:26:18,70,70,0,La Liga,1.86,,491.91,
"Atletico Madrid +0.5 @ 2.030

$100.00 Single",06/29/2020 18:59:25,100,94.42,-5.58,La Liga,2.03,,486.33,
"Atletico Madrid +0.5,+1.0 @ 1.950

$114.42 Single",06/30/2020 12:05:07,114.42,223.12,108.7,La Liga,1.95,,595.03,"马竞 vs Barcelona
巴萨本赛季送钱童子，看准了
就是是吃"
"Draw @ 5.50

$20.00 Single",06/30/2020 16:14:54,20,110,90,La Liga,5.5,live goal,685.03,
"Atletico Madrid to score 5th goal @ 6.00

$10.00 Single",06/30/2020 16:41:17,10,0,-10,La Liga,6,live goal,675.03,
"Man City to score 2nd goal @ 1.95

$23.12 Single",07/02/2020 14:45:49,23.12,45.14,22.02,PL,1.95,live,697.05,"Man City vs Liverpool
利物浦已夺冠，欧冠已被淘汰
战意决定一切
尤文意甲夺冠后最后几轮也是拉胯"
"Real Madrid @ 1.80

$15.14 Single",07/02/2020 15:22:01,15.14,27.26,12.12,La Liga,1.8,live,709.17,
"Real Madrid @ 2.40

$20.00 Single",07/02/2020 16:23:30,20,48,28,La Liga,2.4,live,737.17,
"Juventus 0.0,-0.5 @ 2.030

$25.26 Single",07/07/2020 15:03:28,25.26,0,-25.26,Serie A,2.03,,711.91,"Juventus vs Milan
米兰4球逆转，坑爹"
"Napoli 0.0,-0.5 @ 1.870

$40.00 Single",07/11/2020 10:00:56,40,20,-20,Serie A,1.87,,691.91,
"Atalanta 0.0,+0.5 @ 2.040

$50.00 Single",07/11/2020 14:38:03,50,76,26,Serie A,2.04,regular,717.91,"Atalanta vs Juventus
尤文两个点球坑爹"
"Atalanta @ 5.00

$10.00 Single",07/11/2020 16:16:23,10,0,-10,Serie A,5,live,707.91,"Atalanta vs Juventus
尤文两个点球坑爹"
"Napoli @ 2.20

$30.00 Single",07/12/2020 14:49:54,30,0,-30,Serie A,2.2,,677.91,
"Napoli @ 3.75

$36.00 Single",07/12/2020 15:09:05,36,99,63,Serie A,3.75,live,740.91,"Napoli vs AC Milan
米兰又是坑爹点球扳平. 幸好滚球提前cash out, 策略正确"
"Southampton @ 34.00

$9.00 Single",07/13/2020 15:12:29,9,0,-9,PL,34,,731.91,
"Man City @ 4.75

$20.00 Single",07/18/2020 15:10:36,20,0,-20,PL,4.75,,711.91,
"Bologna to score 4th goal @ 3.40

$40.00 Single",07/18/2020 15:32:01,40,0,-40,Serie A,3.4,live goal,671.91,
"Juventus to score 3rd goal @ 2.40

$30.00 Single",07/20/2020 16:18:56,30,0,-30,Serie A,2.4,live goal,641.91,
"Sassuolo +0.5,+1.0 @ 1.940

$20.00 Single",07/21/2020 14:40:49,20,10,-10,Serie A,1.94,,631.91,
"Sassuolo @ 4.33

$20.00 Single",07/21/2020 15:30:12,20,0,-20,Serie A,4.33,,611.91,
"Atalanta 0.0,-0.5 @ 1.980

$40.00 Single",07/23/2020 14:25:03,40,20,-20,Serie A,1.98,,591.91,
"Atalanta -1.0 @ 2.37

$50.00 Single",07/23/2020 14:25:54,50,118.75,68.75,Serie A,2.37,corner,660.66,"
AC Milan v Atalanta(Corner Handicap)
角球大数据"
"Atalanta @ 2.25

$30.00 Single",07/24/2020 15:23:37,30,0,-30,Serie A,2.25,,630.66,
"Atalanta @ 2.75

$20.00 Single",07/24/2020 16:01:23,20,0,-20,Serie A,2.75,,610.66,
"Atalanta @ 2.87

$50.00 Single",07/24/2020 16:05:28,50,0,-50,Serie A,2.87,,560.66,
"No @ 1.80

$38.75 Single",07/26/2020 9:49:19,38.75,69.75,31,PL,1.8,,591.66,"Chelsea v Wolverhampton(Both Teams to Score)
英超最后一轮, 切尔西争欧冠席位, 打平即可.谨慎为上"
"Inter Milan to score 2nd goal @ 2.50

$29.75 Single",07/28/2020 16:12:06,29.75,74.38,44.63,Serie A,2.5,,636.29,
"Atalanta to score 3rd goal @ 2.75

$24.38 Single",08/01/2020 15:13:47,24.38,0,-24.38,Serie A,2.75,,611.91,
"Getafe @ 3.20

$50.00 Single",08/04/2020 12:32:35,50,160,110,UCL,3.2,corner,721.91,"Getafe vs Inter
角球大数据精准命中 (Cross + Corner)"
"Getafe to score 2nd goal @ 3.60

$20.00 Single",08/05/2020 15:16:26,20,0,-20,UCL,3.6,live goal,701.91,"Getafe vs Inter

本来应该命中的，可惜点球发丢了"
"Getafe to score 2nd goal @ 4.33

$20.00 Single",08/05/2020 15:28:53,20,0,-20,UCL,4.33,live goal,681.91,"Getafe vs Inter

本来应该命中的，可惜点球发丢了"
"Lyon +1.0 @ 1.970

$60.00 Single",08/07/2020 13:02:18,60,60,0,UCL,1.97,,681.91,"Lyon vs Juventus
欧冠16进8， Lyon半年没正式比赛了
尤文依然拉胯, 可见意甲的强度之低"
"Man City to score 4th goal @ 2.10

$20.00 Single",08/07/2020 15:32:40,20,0,-20,UCL,2.1,,661.91,"Man City vs Real Madrid
欧冠16进8， 拉莫斯停赛。瓦拉内2次低级失误。
强调中卫组合稳定性
偶联Roma vs Sevilla也验证了这一点(Smalling缺阵)"
"Napoli +1.0 @ 2.000

$40.00 Single",08/08/2020 13:59:47,40,80,40,,2,corner,701.91,"Barcelona v Napoli
这个角球还是很稳的..."
"Napoli to score 5th goal @ 3.75

$20.00 Single",08/08/2020 15:36:34,20,0,-20,,3.75,,681.91,
"Man City -1.5 @ 1.930

$30.00 Single",08/08/2020 19:15:12,30,31.59,1.59,,1.93,,683.5,
"Bayern Munich @ 1.95

$30.00 Single",08/10/2020 10:04:39,30,30,0,,1.95,cash out,683.5,
"Bayern Munich -0.5 @ 2.020

$50.00 Single",08/10/2020 10:05:14,50,101,51,UCL,2.02,,734.5,"拜仁 vs 巴萨
看了一赛季巴萨，结果并不意外，最稳的一场"
"Bayern Munich -0.5 @ 2.020

$50.00 Single",08/10/2020 10:05:41,50,101,51,UCL,2.02,,785.5,拜仁 vs 巴萨
"Over 2.0 @ 2.000

$30.00 Single",08/11/2020 10:29:22,30,0,-30,UCL,2,goal,755.5,Wolverhampton v Sevilla(Goal Line)
"Over 2.0 @ 2.100

$20.00 Single",08/11/2020 13:28:07,20,0,-20,UCL,2.1,goal,735.5,"Wolverhampton v Sevilla(Goal Line)
这个参考两队数据应该可以看出端倪:
狼队龟缩，火力不强"
"Over 1.0,1.5 @ 2.150

$38.00 Single",08/12/2020 14:00:08,38,41.24,3.24,,2.15,goal,738.74,"Atalanta vs Paris
半场大小球"
"Over 1.0,1.5 @ 2.150

$12.00 Single",08/12/2020 14:00:22,12,6,-6,UCL,2.15,goal,732.74,
"Atalanta to score 2nd goal @ 3.00

$27.24 Single",08/12/2020 15:07:02,27.24,0,-27.24,UCL,3,,705.5,
"Atalanta to score 2nd goal @ 4.33

$20.00 Single",08/12/2020 15:33:15,20,0,-20,UCL,4.33,,685.5,
"Atletico Madrid to score 3rd goal @ 4.33

$20.00 Single",08/13/2020 15:38:58,20,0,-20,UCL,4.33,,665.5,
"Atletico Madrid to score 3rd goal @ 4.33

$10.00 Single",08/13/2020 15:39:30,10,0,-10,UCL,4.33,,655.5,
"Bayern Munich -0.5 @ 2.000

$100.00 Single",08/13/2020 22:39:11,100,200,100,UCL,2,,755.5,"拜仁 vs 巴萨
看了一赛季巴萨，结果并不意外，最稳的一场"
"Bayern Munich to score 8th goal @ 2.10

$50.00 Single",08/14/2020 15:29:43,50,105,55,UCL,2.1,live goal,810.5,"拜仁 vs 巴萨
最后莱万还没进，所以来了第8个..."
"Sevilla 0.0 @ 2.000

$57.00 Single",08/15/2020 9:32:34,57,0,-57,,2,,753.5,
"Man City @ 3.75

$31.59 Single",08/15/2020 15:18:17,31.59,0,-31.59,,3.75,,721.91,
"Beijing Guoan to score 6th goal @ 1.80

$100.00 Single",08/16/2020 6:27:34,100,0,-100,CSL,1.8,,621.91,中超赛季处子秀，卒
"Man Utd @ 2.40

$200.00 Single",08/16/2020 15:21:09,200,0,-200,UCL,2.4,,421.91,被曼城搞了心态，崩
"Inter Milan to score 3rd goal @ 2.20

$200.00 Single",08/17/2020 15:23:00,200,440,240,UCL,2.2,live goal,661.91,"Inter Milan v Shakhtar Donetsk
曼城把心态搞崩了，孤注一掷. 
根据矿工之前打亚特兰大的拉胯后防最后崩盘判定其还会继续丢球，最后果然再丢三个"
"Draw @ 4.00

$40.00 Single",08/18/2020 11:09:41,40,0,-40,UCL,4,,621.91,"Paris vs LPZ
不看好巴黎，博个平局"
"Bayern Munich -0.5 @ 1.950

$200.00 Single",08/19/2020 16:19:02,200,200,0,UCL,1.95,,621.91,
"Bayern Munich -0.5 @ 1.950

$100.00 Single",08/19/2020 16:20:16,100,195,95,UCL,1.95,regular,716.91,"欧冠决赛,赛季的完美句号
巴黎毫无胜算，决赛资金量大, 小注规避风险"
"Sevilla 0.0,+0.5 @ 1.925

$100.00 Single",08/21/2020 12:32:47,100,192.5,92.5,UCL,1.925,regular,809.41,"欧联决赛, Sevilla vs Inter
国米赛前赔率显示为优势. 
一个赛季意甲没白看, 拉胯联赛，孔蒂垃圾"
"Sevilla to score 5th goal @ 4.33

$50.00 Single",08/21/2020 15:28:04,50,216.67,166.67,UCL,4.33,live goal,976.08,"欧联决赛, Sevilla vs Inter
国米赛前赔率显示为优势. 
一个赛季意甲没白看, 拉胯联赛，孔蒂垃圾"
"Bayern Munich -0.5 @ 2.070

$79.17 Single
",08/21/2020 19:23:25,79.17,143.89,64.72,UCL,2.07,regular,1040.8,
"Bayern Munich -2.0 @ 1.975

$50.00 Single",08/23/2020 13:11:01,50,0,-50,UCL,1.975,corner,990.8,欧冠决赛，这个角球没打出比较意外
"Shandong Luneng -0.5 @ 1.875

$38.89 Single",08/29/2020 6:58:45,38.89,0,-38.89,,1.875,,951.91,
"Leeds @ 10.00

$50.00 Single",09/06/2020 9:39:47,50,0,-50,PL,10,,901.91,"Leeds vs Liverpool
庆祝Leeds联重返英超, 情怀一注只为支持贝尔萨"
"Everton @ 4.75

$20.00 Single",09/13/2020 11:34:57,20,95,75,,4.75,,976.91,
"Dalian Pro @ 1.83

$25.00 Single",09/14/2020 7:12:54,25,0,-25,,1.83,,951.91,
"Liverpool 0.0,-0.5 @ 1.980

$50.00 Single",09/20/2020 6:31:47,50,99,49,,1.98,,1000.91,
"Liverpool @ 2.20

$50.00 Single",09/20/2020 11:08:35,50,110,60,,2.2,,1060.91,
"Man City -1.0 @ 1.870

$29.00 Single",09/21/2020 14:11:12,29,54.23,25.23,,1.87,,1086.14,
"Atalanta 0.0 @ 1.950

$50.00 Single",09/29/2020 8:36:12,50,97.5,47.5,,1.95,,1133.64,
"Leeds +1.5 @ 1.940

$34.23 Single",09/30/2020 5:26:56,34.23,66.41,32.18,,1.94,,1165.82,
"Borussia Dortmund to score 5th goal @ 3.40

$50.00 Single",09/30/2020 14:52:58,50,0,-50,,3.4,,1115.82,
"Leeds @ 21.00

$17.50 Single",10/03/2020 12:36:23,17.5,0,-17.5,,21,,1098.32,
"Borussia Dortmund 0.0,-0.5 @ 1.980

$96.41 Single",10/07/2020 7:11:42,96.41,0,-96.41,UCL,1.98,regular,1001.91,"Lazio vs Dortmund, 大崩盘的第二场
提前投注, 以当时的眼光来看，这赔率真TMD就是白送"
"Beijing Guoan @ 3.00

$20.00 Single",10/17/2020 4:00:31,20,0,-20,,3,,981.91,
"Inter Milan -0.5 @ 2.080

$80.00 Single",10/17/2020 10:28:29,80,0,-80,,2.08,,901.91,"Inter vs AC Milan
有三支球队我是长期做空的: 拉齐奥, 热刺(穆里尼奥), 米兰(伊布). 坚决做空米兰因为伊布的球风和跑动能力. 结果米兰本赛季意甲10轮后排名第一，脸都给我打肿了
恰好碰上我在意甲无脑做多的国际米兰(英超班子, 劳塔罗). 孔蒂真心是坑爹, 本赛季可能要粉转黑"
"Inter Milan @ 3.40

$50.00 Single",10/17/2020 11:36:00,50,0,-50,,3.4,,851.91,
"Shanghai SIPG -1.0 @ 1.800

$150.00 Single",10/17/2020 18:58:53,150,0,-150,CSL,1.8,,701.91,"上港vs申花, 大崩盘的开始
投注依据：中超靠外援, 上港有新晋英超大腿外援，申花只有双外援, 上港常规赛数据全面占优
主要问题: 没认真看过两队的比赛, 完全不了解上港队内的一些问题(事后才知道有外援续约，降薪和态度问题)"
"Shanghai SIPG -1.0 @ 1.975

$100.00 Single",10/18/2020 6:21:23,100,0,-100,CSL,1.975,,601.91,"上港vs申花, 大崩盘的开始"
"Borussia Dortmund 0.0,-0.5 @ 1.860

$100.00 Single",10/18/2020 10:56:35,100,0,-100,UCL,1.86,regular,501.91,"Lazio vs Dortmund, 大崩盘的第二场
拉齐奥十年后重返欧冠第一场，我最熟悉的意甲养老队面对一只常年和拜仁打高强度对抗的球队居然都会爆冷...

反思：多特蒙德的比赛我没看过，没想到如此拉垮. 当然这场球问我依然觉得有问题"
"Man Utd 0.0 @ 1.880

$50.00 Single",10/24/2020 10:42:23,50,50,0,,1.88,,501.91,
